iata_code,id_0,id_1,id_2,id_3,id_4,id_5
AGR,IND_gadm36,IND.19_1_gadm36,IND.19.50_1_gadm36,IND.19.50.1_1_gadm36,,
AGS,USA_gadm36,USA.11_1_gadm36,USA.11.121_1_gadm36,,,
AGT,PRY_gadm36,PRY.2_1_gadm36,PRY.2.1_1_gadm36,,,
AGU,MEX_gadm36,MEX.1_1_gadm36,MEX.1.1_1_gadm36,,,
AGV,VEN_gadm36,VEN.19_1_gadm36,VEN.19.8_1_gadm36,,,
AGW,AUS_gadm36,AUS.7_1_gadm36,AUS.7.20_1_gadm36,,,
AGX,IND_gadm36,IND.18_1_gadm36,IND.18.1_1_gadm36,IND.18.1.5_1_gadm36,,
AGY,DEU_gadm36,DEU.2_1_gadm36,DEU.2.9_1_gadm36,DEU.2.9.1_1_gadm36,DEU.2.9.1.1_1_gadm36,
AGZ,ZAF_gadm36,ZAF.8_1_gadm36,ZAF.8.3_1_gadm36,ZAF.8.3.4_1_gadm36,ZAF.8.3.4.4_1_gadm36,
AHA,JPN_gadm36,JPN.32_1_gadm36,JPN.32.21_1_gadm36,,,
AHB,SAU_gadm36,SAU.1_1_gadm36,,,,
AHC,USA_gadm36,USA.5_1_gadm36,USA.5.18_1_gadm36,,,
AHD,USA_gadm36,USA.37_1_gadm36,USA.37.10_1_gadm36,,,
AHE,,,,,,
AHF,USA_gadm36,USA.28_1_gadm36,USA.28.33_1_gadm36,,,
AHH,USA_gadm36,USA.50_1_gadm36,USA.50.51_1_gadm36,,,
AHI,IDN_gadm36,IDN.19_1_gadm36,IDN.19.6_1_gadm36,IDN.19.6.1_1_gadm36,IDN.19.6.1.9_1_gadm36,
AHJ,CHN_gadm36,CHN.26_1_gadm36,CHN.26.16_1_gadm36,CHN.26.16.5_1_gadm36,,
AHL,GUY_gadm36,GUY.10_1_gadm36,GUY.10.1_1_gadm36,,,
AHM,USA_gadm36,USA.38_1_gadm36,USA.38.15_1_gadm36,,,
AHN,USA_gadm36,USA.11_1_gadm36,USA.11.29_1_gadm36,,,
AHO,ITA_gadm36,ITA.14_1_gadm36,ITA.14.8_1_gadm36,ITA.14.8.1_1_gadm36,,
AHS,HND_gadm36,HND.9_1_gadm36,HND.9.1_1_gadm36,,,
AHT,,,,,,
AHU,MAR_gadm36,MAR.15_1_gadm36,MAR.15.1_1_gadm36,MAR.15.1.3_1_gadm36,MAR.15.1.3.1_1_gadm36,
AHW,OMN_gadm36,OMN.6_1_gadm36,OMN.6.1_1_gadm36,,,
AHY,MDG_gadm36,MDG.6_1_gadm36,MDG.6.4_1_gadm36,MDG.6.4.4_1_gadm36,MDG.6.4.4.1_1_gadm36,
AHZ,FRA_gadm36,FRA.1_1_gadm36,FRA.1.8_1_gadm36,FRA.1.8.1_1_gadm36,FRA.1.8.1.15_1_gadm36,FRA.1.8.1.15.5_1_gadm36
AIA,USA_gadm36,USA.28_1_gadm36,USA.28.7_1_gadm36,,,
AIB,,,,,,
AIC,MHL_gadm36,,,,,
AID,USA_gadm36,USA.15_1_gadm36,USA.15.49_1_gadm36,,,
AIE,PNG_gadm36,PNG.11_1_gadm36,PNG.11.3_1_gadm36,,,
AIF,BRA_gadm36,BRA.25_1_gadm36,BRA.25.47_1_gadm36,BRA.25.47.1_1_gadm36,,
AIG,CAF_gadm36,CAF.5_1_gadm36,CAF.5.3_1_gadm36,,,
AIH,PNG_gadm36,PNG.22_1_gadm36,PNG.22.1_1_gadm36,,,
AII,DJI_gadm36,DJI.1_1_gadm36,DJI.1.1_1_gadm36,,,
AIK,USA_gadm36,USA.41_1_gadm36,USA.41.2_1_gadm36,,,
AIL,PAN_gadm36,PAN.8_1_gadm36,PAN.8.1_1_gadm36,PAN.8.1.1_1_gadm36,,
AIM,,,,,,
AIN,,,,,,
AIO,USA_gadm36,USA.16_1_gadm36,USA.16.15_1_gadm36,,,
AIP,MHL_gadm36,,,,,
AIR,BRA_gadm36,BRA.12_1_gadm36,BRA.12.38_1_gadm36,BRA.12.38.1_1_gadm36,,
AIS,KIR_gadm36,,,,,
AIT,COK_gadm36,,,,,
AIU,COK_gadm36,,,,,
AIV,USA_gadm36,USA.1_1_gadm36,USA.1.54_1_gadm36,,,
AIW,NAM_gadm36,NAM.1_1_gadm36,NAM.1.2_1_gadm36,,,
AIY,USA_gadm36,USA.31_1_gadm36,USA.31.1_1_gadm36,,,
AIZ,USA_gadm36,USA.26_1_gadm36,USA.26.66_1_gadm36,,,
AJA,FRA_gadm36,FRA.5_1_gadm36,FRA.5.1_1_gadm36,FRA.5.1.1_1_gadm36,FRA.5.1.1.2_1_gadm36,FRA.5.1.1.2.1_1_gadm36
AJF,SAU_gadm36,SAU.4_1_gadm36,,,,
AJI,TUR_gadm36,TUR.4_1_gadm36,TUR.4.4_1_gadm36,,,
AJJ,MRT_gadm36,MRT.9_1_gadm36,MRT.9.1_1_gadm36,,,
AJK,IRN_gadm36,IRN.8_1_gadm36,IRN.8.9_1_gadm36,,,
AJL,IND_gadm36,IND.23_1_gadm36,IND.23.6_1_gadm36,IND.23.6.1_1_gadm36,,
AJN,COM_gadm36,COM.1_1_gadm36,,,,
